"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"BNTC","Benitec Biopharma Limited","3.26","33438263.36","n/a","Australia","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bntc",
"BNTCW","Benitec Biopharma Limited","0.3999","0","n/a","Australia","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bntcw",
"BHP","BHP Billiton Limited","46.8","124572746656.8","n/a","Australia","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/bhp",
"GENE","Genetic Technologies Ltd","1.41","22891657.38","n/a","Australia","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/gene",
"HUNT","Hunter Maritime Acquisition Corp.","9.81","186060138.75","n/a","Marshall Islands","2017","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/hunt",
"HUNTU","Hunter Maritime Acquisition Corp.","10.15","0","n/a","Marshall Islands","2016","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/huntu",
"HUNTW","Hunter Maritime Acquisition Corp.","0.58","0","n/a","Marshall Islands","2017","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/huntw",
"IMRN","Immuron Limited","10.9781","39412257.248","n/a","Australia","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/imrn",
"IMRNW","Immuron Limited","4.083","0","n/a","Australia","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/imrnw",
"IMMP","Immutep Limited","1.93","46307051.63","n/a","Australia","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/immp",
"IMTE","Integrated Media Technology Limited","3","7930833","n/a","Australia","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/imte",
"KZIA","Kazia Therapeutics Limited","5.43","26286423.66","n/a","Australia","n/a","Capital Goods","Miscellaneous","https://www.nasdaq.com/symbol/kzia",
"MESO","Mesoblast Limited","6.1","574446436.7","n/a","Australia","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/meso",
"PRAN","Prana Biotechnology Ltd","1.989","17698501.899","n/a","Australia","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/pran",
"RIO","Rio Tinto Plc","54.26","95619473440.26","n/a","Australia","2002","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/rio",
"WBK","Westpac Banking Corporation","22.33","75613012309.45","n/a","Australia","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/wbk",
