"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"AOSL","Alpha and Omega Semiconductor Limited","15.63","374308427.88","n/a","Bermuda","2010","Technology","Semiconductors","https://www.nasdaq.com/symbol/aosl",
"ACGL","Arch Capital Group Ltd.","80.92","11061986125.4","n/a","Bermuda","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acgl",
"ACGLO","Arch Capital Group Ltd.","24.35","0","n/a","Bermuda","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acglo",
"ACGLP","Arch Capital Group Ltd.","23.82","0","n/a","Bermuda","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/acglp",
"AGII","Argo Group International Holdings, Ltd.","57.6","1688891904","n/a","Bermuda","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/agii",
"AGIIL","Argo Group International Holdings, Ltd.","25.35","0","n/a","Bermuda","n/a","Finance","Specialty Insurers","https://www.nasdaq.com/symbol/agiil",
"AHL","Aspen Insurance Holdings Limited","44.05","2623771910.7","n/a","Bermuda","2003","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ahl",
"AHL^C","Aspen Insurance Holdings Limited","25.85","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ahl^c",
"AHL^D","Aspen Insurance Holdings Limited","24.18","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ahl^d",
"AGO","Assured Guaranty Ltd.","37.58","4320489924","n/a","Bermuda","2004","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/ago",
"AGO^B","Assured Guaranty Ltd.","25.89","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ago^b",
"AGO^E","Assured Guaranty Ltd.","25.11","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ago^e",
"AGO^F","Assured Guaranty Ltd.","24.75","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ago^f",
"AXS","Axis Capital Holdings Limited","56.44","4713787357.08","n/a","Bermuda","2003","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/axs",
"AXS^D","Axis Capital Holdings Limited","24.61","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/axs^d",
"AXS^E","Axis Capital Holdings Limited","24.3","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/axs^e",
"NTB","Bank of N.T. Butterfield & Son Limited (The)","45.34","2499827020.9","n/a","Bermuda","2016","Finance","Commercial Banks","https://www.nasdaq.com/symbol/ntb",
"BGNE","BeiGene, Ltd.","168.22","9010674861.5","n/a","Cayman Islands","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/bgne",
"BEL","Belmond Ltd.","11.1","1136579727","n/a","Bermuda","n/a","Consumer Services","Hotels/Resorts","https://www.nasdaq.com/symbol/bel",
"BSTI","BEST Inc.","10.28","3842664000","n/a","Cayman Islands","2017","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/bsti",
"BIP","Brookfield Infrastructure Partners LP","41.2","11394803480","n/a","Bermuda","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/bip",
"BPY","Brookfield Property Partners L.P.","18.98","4840365598.38","n/a","Bermuda","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/bpy",
"CIC","Capitol Investment Corp. IV","9.67","115343885.71","n/a","Cayman Islands","2017","Finance","Business Services","https://www.nasdaq.com/symbol/cic",
"CIC.U","Capitol Investment Corp. IV","n/a","0","n/a","Cayman Islands","2017","n/a","n/a","https://www.nasdaq.com/symbol/cic.u",
"CIC.WS","Capitol Investment Corp. IV","n/a","0","n/a","Cayman Islands","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cic.ws",
"CETV","Central European Media Enterprises Ltd.","4.2","608848048.2","n/a","Bermuda","1994","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/cetv",
"CWCO","Consolidated Water Co. Ltd.","13.6","203269421.6","n/a","Cayman Islands","n/a","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/cwco",
"ESGR","Enstar Group Limited","211.9","4118067142.8","n/a","Bermuda","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/esgr",
"RE","Everest Re Group, Ltd.","249.19","10176861787.92","n/a","Bermuda","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/re",
"EVTC","Evertec, Inc.","17.5","1267509967.5","n/a","Puerto Rico","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/evtc",
"FN","Fabrinet","33.45","1247981467.35","n/a","Cayman Islands","2010","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/fn",
"FBP","First BanCorp.","6.72","1453769425.92","n/a","Puerto Rico","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/fbp",
"FDP","Fresh Del Monte Produce, Inc.","48.87","2375377370.28","n/a","Cayman Islands","1997","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/fdp",
"FRO","Frontline Ltd.","4.78","811688568.72","n/a","Bermuda","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/fro",
"G","Genpact Limited","31.81","6111004340.16","n/a","Bermuda","2007","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/g",
"GPRK","Geopark Ltd","13","781253018","n/a","Bermuda","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/gprk",
"GLNG","Golar LNG Limited","28.89","2917890000","n/a","Bermuda","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/glng",
"GMLP","Golar LNG Partners LP","18.34","1270013656.94","n/a","Bermuda","2011","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/gmlp",
"GMLPP","Golar LNG Partners LP","25.4","0","n/a","Bermuda","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/gmlpp",
"GOGL","Golden Ocean Group Limited","7.99","1152539099.03","n/a","Bermuda","n/a","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/gogl",
"GLRE","Greenlight Reinsurance, Ltd.","15.55","580905486.3","n/a","Cayman Islands","2007","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/glre",
"HELE","Helen of Troy Limited","85.55","2307118559.6","n/a","Bermuda","n/a","Consumer Durables","Home Furnishings","https://www.nasdaq.com/symbol/hele",
"HLF","Herbalife LTD.","100.66","8800939948.36","n/a","Cayman Islands","2004","Health Care","Other Pharmaceuticals","https://www.nasdaq.com/symbol/hlf",
"HMLP","Hoegh LNG Partners LP","17.6","582271395.2","n/a","Bermuda","2014","Consumer Services","Marine Transportation","https://www.nasdaq.com/symbol/hmlp",
"HMLP^A","Hoegh LNG Partners LP","25.9","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/hmlp^a",
"INFO","IHS Markit Ltd.","48.52","19399512687.52","n/a","Bermuda","2014","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/info",
"JRVR","James River Group Holdings, Ltd.","35.66","1065046700.3","n/a","Bermuda","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/jrvr",
"KOS","Kosmos Energy Ltd.","6.67","2639362541.76","n/a","Bermuda","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/kos",
"LAZ","Lazard Ltd.","52.77","6847756622.07","n/a","Bermuda","2005","Finance","Investment Managers","https://www.nasdaq.com/symbol/laz",
"LXFT","Luxoft Holding, Inc.","39.15","1324914378.3","n/a","British Virgin Islands","2013","Technology","EDP Services","https://www.nasdaq.com/symbol/lxft",
"MH^A","Maiden Holdings, Ltd.","19.15","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mh^a",
"MH^C","Maiden Holdings, Ltd.","17.42","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mh^c",
"MH^D","Maiden Holdings, Ltd.","16.41","0","n/a","Bermuda","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mh^d",
"MHLA","Maiden Holdings, Ltd.","18.0734","0","n/a","Bermuda","2016","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mhla",
"MHLD","Maiden Holdings, Ltd.","6.95","577878509.65","n/a","Bermuda","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mhld",
"MHNC","Maiden Holdings, Ltd.","20.07","0","n/a","Bermuda","2013","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/mhnc",
"MRVL","Marvell Technology Group Ltd.","22.01","10927965000","n/a","Bermuda","2000","Technology","Semiconductors","https://www.nasdaq.com/symbol/mrvl",
"NBR","Nabors Industries Ltd.","7.58","2792004685.42","n/a","Bermuda","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/nbr",
