"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ABB","ABB Ltd","22.86","48888544338.54","n/a","Switzerland","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/abb",
"ABLX","Ablynx NV","54.73","4118633194.91","n/a","Belgium","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/ablx",
"ACIU","AC Immune SA","8.94","512755380.72","n/a","Switzerland","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aciu",
"ACN","Accenture plc","150.13","101040164115.56","n/a","Ireland","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",
"ADAP","Adaptimmune Therapeutics plc","12.45","1166445965.55","n/a","United Kingdom","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adap",
"AGRO","Adecoagro S.A.","7.93","970487792.95","n/a","Luxembourg","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/agro",
"ANW","Aegean Marine Petroleum Network Inc.","2.35","95504991.7","n/a","Greece","2006","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/anw",
"AEB","Aegon NV","24.74","0","n/a","Netherlands","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","26.13","0","n/a","Netherlands","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","7.2","14718522657.6","n/a","Netherlands","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.88","0","n/a","Netherlands","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeh",
"AER","Aercap Holdings N.V.","51.68","7906631779.68","n/a","Netherlands","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aer",
"AFMD","Affimed N.V.","2.175","135698397.9","n/a","Germany","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/afmd",
"ALKS","Alkermes plc","42.53","6592203077.44","n/a","Ireland","1991","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alks",
"ASPS","Altisource Portfolio Solutions S.A.","25.4","441954716.8","n/a","Luxembourg","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/asps",
"AMRN","Amarin Corporation plc","3.03","885725754.93","n/a","Ireland","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/amrn",
"DOX","Amdocs Limited","66.08","9477391840","n/a","Guernsey","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/dox",
"BUD","Anheuser-Busch Inbev SA","104.8","177451777948.8","n/a","Belgium","n/a","Consumer Non-Durables","Beverages (Production/Distribution)","https://www.nasdaq.com/symbol/bud",
"APTV","Aptiv PLC","85.51","22715095391.11","n/a","United Kingdom","2011","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/aptv",
"MT","ArcelorMittal","32.67","33091991431.29","n/a","Luxembourg","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/mt",
"ARGX","argenx SE","84.76","2746489553.08","n/a","Netherlands","2017","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/argx",
"ASND","Ascendis Pharma A/S","62.13","2579871519.45","n/a","Denmark","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/asnd",
"ASML","ASML Holding N.V.","205.65","87893492194.8","n/a","Netherlands","1995","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/asml",
"AZN","Astrazeneca PLC","36.32","92005071958.08","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/azn",
"AY","Atlantica Yield plc","19.58","1962253950.8","n/a","United Kingdom","2014","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/ay",
"TEAM","Atlassian Corporation Plc","60.25","13992448492.25","n/a","United Kingdom","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/team",
"EARS","Auris Medical Holding AG","1.27","7769082.76","n/a","Switzerland","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ears",
"ALV","Autoliv, Inc.","149.02","12978203807.98","n/a","Sweden","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/alv",
"AVDL","Avadel Pharmaceuticals plc","7.27","275911905.13","n/a","France","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/avdl",
"AXON          ","Axovant Sciences Ltd.","1.19","128267808.06","n/a","United Kingdom","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/axon",
"BBVA","Banco Bilbao Viscaya Argentaria S.A.","7.85","52342909653","n/a","Spain","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bbva",
"SAN","Banco Santander, S.A.","6.61","106659975177.02","n/a","Spain","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/san",
"SAN^A","Banco Santander, S.A.","26","0","n/a","Spain","n/a","n/a","n/a","https://www.nasdaq.com/symbol/san^a",
"SAN^B","Banco Santander, S.A.","24.47","0","n/a","Spain","n/a","n/a","n/a","https://www.nasdaq.com/symbol/san^b",
"SAN^C","Banco Santander, S.A.","25.1","0","n/a","Spain","n/a","n/a","n/a","https://www.nasdaq.com/symbol/san^c",
"SAN^I","Banco Santander, S.A.","25.35","0","n/a","Spain","n/a","n/a","n/a","https://www.nasdaq.com/symbol/san^i",
"BCS","Barclays PLC","12.21","52104489971.16","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bcs",
"BCS^D","Barclays PLC","26.08","0","n/a","United Kingdom","n/a","n/a","n/a","https://www.nasdaq.com/symbol/bcs^d",
"DFVL","Barclays PLC","61.9699","4536196.68","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/dfvl",
"DFVS","Barclays PLC","33.9087","1261403.64","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/dfvs",
"DLBL","Barclays PLC","75.08","4346155.96","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/dlbl",
"DLBS","Barclays PLC","19.394","18888631.148","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/dlbs",
"DTUL","Barclays PLC","59.725","4122995.925","n/a","United Kingdom","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/dtul",
