"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ABIL","Ability Inc.","3.13","8061671.82","n/a","Israel","2014","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
"ALLT","Allot Communications Ltd.","5.36","180030683.04","n/a","Israel","2006","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/allt",
"ARCT","Arcturus Therapeutics Ltd.","5.4","57072065.4","n/a","Israel","2013","n/a","n/a","https://www.nasdaq.com/symbol/arct",
"ATTU","Attunity Ltd.","7.7699","161085318.1632","n/a","Israel","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/attu",
"AUDC","AudioCodes Ltd.","7.22","208602239.94","n/a","Israel","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/audc",
"BCOM","B Communications Ltd.","12.75","381225000","n/a","Israel","n/a","Consumer Services","Telecommunications Equipment","https://www.nasdaq.com/symbol/bcom",
"BOSC","B.O.S. Better Online Solutions","2.23","7485416.47","n/a","Israel","n/a","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/bosc",
"ORPN","Bioblast Pharma Ltd.","2.04","6818481.72","n/a","Israel","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/orpn",
"BLRX","BioLineRx Ltd.","0.86","91492859.56","n/a","Israel","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/blrx",
"BVXV","BiondVax Pharmaceuticals Ltd.","6.2999","41172927.1511","n/a","Israel","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/bvxv",
"BVXVW","BiondVax Pharmaceuticals Ltd.","1.4","0","n/a","Israel","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/bvxvw",
"CSTE","Caesarstone Ltd.","19.7","676668602","n/a","Israel","2012","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cste",
"CAMT","Camtek Ltd.","7.39","264799448.09","n/a","Israel","2000","Capital Goods","Electronic Components","https://www.nasdaq.com/symbol/camt",
"CANF","Can-Fite Biopharma Ltd","1.45","28972660.25","n/a","Israel","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/canf",
"CEL","Cellcom Israel, Ltd.","6.9907","706372184.6199","n/a","Israel","2007","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/cel",
"APOP","Cellect Biotechnology Ltd.","6.99","45502376.61","n/a","Israel","2016","n/a","n/a","https://www.nasdaq.com/symbol/apop",
"APOPW","Cellect Biotechnology Ltd.","1.6578","0","n/a","Israel","2016","n/a","n/a","https://www.nasdaq.com/symbol/apopw",
"CRNT","Ceragon Networks Ltd.","2.68","209391021.04","n/a","Israel","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/crnt",
"CHKP","Check Point Software Technologies Ltd.","102.55","17020757170.2","n/a","Israel","1996","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/chkp",
"CHEK","Check-Cap Ltd.","4.04","540495.44","n/a","Israel","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chek",
"CHEKW","Check-Cap Ltd.","0.2589","0","n/a","Israel","2015","Health Care","Medical Electronics","https://www.nasdaq.com/symbol/chekw",
"CLGN","CollPlant Holdings, Ltd.","6","20539278","n/a","Israel","n/a","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/clgn",
"CGEN","Compugen Ltd.","4.5","230818815","n/a","Israel","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cgen",
"CYBR","CyberArk Software Ltd.","51.68","1838692900.64","n/a","Israel","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/cybr",
"DRIO","DarioHealth Corp.","1.76","28948328.64","n/a","Israel","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/drio",
"DRIOW","DarioHealth Corp.","0.2289","0","n/a","Israel","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/driow",
"EMITF","Elbit Imaging Ltd.","2.73","25090905.84","n/a","Israel","n/a","Consumer Services","Building operators","https://www.nasdaq.com/symbol/emitf",
"ESLT","Elbit Systems Ltd.","122.86","5252655940.52","n/a","Israel","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/eslt",
"ELLO","Ellomay Capital Ltd.","8.3849","89513067.0292","n/a","Israel","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/ello",
"ELTK","Eltek Ltd.","3.73","7566498.96","n/a","Israel","1997","Technology","Electrical Products","https://www.nasdaq.com/symbol/eltk",
"EVGN","Evogene Ltd.","3.07","79065691.79","n/a","Israel","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/evgn",
"FOMX","Foamix Pharmaceuticals Ltd.","5.27","197894818.73","n/a","Israel","2014","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/fomx",
"FRSX","Foresight Autonomous Holdings Ltd.","3.01","66203137.98","n/a","Israel","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/frsx",
"FORTY","Formula Systems (1985) Ltd.","36.3086","534781454.1252","n/a","Israel","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/forty",
"WILC","G. Willi-Food International,  Ltd.","6.9","91362299.7","n/a","Israel","n/a","Consumer Non-Durables","Food Distributors","https://www.nasdaq.com/symbol/wilc",
"GLMD","Galmed Pharmaceuticals Ltd.","6.24","90307863.36","n/a","Israel","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/glmd",
"GZT","Gazit-Globe Ltd.","9.73","1882893311.95","n/a","Israel","2011","Finance","Real Estate","https://www.nasdaq.com/symbol/gzt",
"GILT","Gilat Satellite Networks Ltd.","8.42","461266688.14","n/a","Israel","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/gilt",
"NSPR","InspireMD Inc.","1.24","7268059.12","n/a","Israel","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/nspr",
"NSPR.WS","InspireMD Inc.","n/a","0","n/a","Israel","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nspr.ws",
"NSPR.WS.B","InspireMD Inc.","n/a","0","n/a","Israel","n/a","n/a","n/a","https://www.nasdaq.com/symbol/nspr.ws.b",
"NTEC","Intec Pharma Ltd.","5.25","136897792.5","n/a","Israel","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ntec",
"IGLD","Internet Gold Golden Lines Ltd.","4.3","82573699.8","n/a","Israel","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/igld",
"ICL","Israel Chemicals Shs","4.36","5573738622.48","n/a","Israel","2014","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/icl",
"ITRN","Ituran Location and Control Ltd.","32.35","678318584.95","n/a","Israel","2005","Consumer Non-Durables","Electronic Components","https://www.nasdaq.com/symbol/itrn",
"KMDA","Kamada Ltd.","4.7","189235249.3","n/a","Israel","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/kmda",
"KTOV","Kitov Pharma Ltd.","2.3","26352530.6","n/a","Israel","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ktov",
"KTOVW","Kitov Pharma Ltd.","0.57","0","n/a","Israel","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ktovw",
"KRNT","Kornit Digital Ltd.","13.7","469599338.8","n/a","Israel","2015","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/krnt",
"MAGS","Magal Security Systems Ltd.","5.64","129903006.72","n/a","Israel","1993","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/mags",
"MGIC","Magic Software Enterprises Ltd.","8.15","362581910.7","n/a","Israel","1991","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/mgic",
"CALL","magicJack VocalTec Ltd","8.45","136803759.3","n/a","Israel","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/call",
"MZOR","Mazor Robotics Ltd.","61.92","1629916197.12","n/a","Israel","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/mzor",
"MDGS","Medigus Ltd.","1.27","4871358.05","n/a","Israel","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/mdgs",
"MDWD","MediWound Ltd.","5.4","146057779.8","n/a","Israel","2014","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/mdwd",
"MTSL","MER Telemanagement Solutions Ltd.","1.67","4873146.84","n/a","Israel","1997","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/mtsl",
"MBOT","Microbot Medical Inc. ","0.755","31800922.385","n/a","Israel","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/mbot",
"MNDO","MIND C.T.I. Ltd.","2.22","42826947.96","n/a","Israel","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/mndo",
"MOTS","Motus GI Holdings, Inc.","4.5","70086384","n/a","Israel","2018","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/mots",
"MYSZ","My Size, Inc.","1.36","39638460.72","n/a","Israel","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/mysz",
"NNDM","Nano Dimension Ltd.","1.73","33403256.93","n/a","Israel","n/a","Technology","Electrical Products","https://www.nasdaq.com/symbol/nndm",
"NICE","NICE Ltd","94","5754010156","n/a","Israel","n/a","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/nice",
