"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","6.8","40696408.8","n/a","United States","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","25","0","n/a","United States","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.9199","59750286.8838","n/a","United States","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","12.75","822846444","n/a","United States","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",
"FCCY","1st Constitution Bancorp (NJ)","21.75","176442351","n/a","United States","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","51.15","1375401914.7","n/a","United States","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"XXII","22nd Century Group, Inc","2.3","285513000.1","n/a","United States","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/xxii",
"TWOU","2U, Inc.","83.28","4390171074.48","n/a","United States","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"DDD","3D Systems Corporation","11.94","1358832499.98","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","215.52","128171453289.12","n/a","United States","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/mmm",
"CAFD","8point3 Energy Partners LP","12.15","960983655.75","n/a","United States","2015","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/cafd",
"EGHT","8x8 Inc","18.85","1737263935.55","n/a","United States","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","19.4","433555526.2","n/a","United States","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","42.75","1262210935.5","n/a","United States","1972","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/shlm",
"AHC","A.H. Belo Corporation","5.25","114289654.5","n/a","United States","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/ahc",
"AAC","AAC Holdings, Inc.","10.78","263675781.6","n/a","United States","2014","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/aac",
"AAON","AAON, Inc.","34.45","1806208918.15","n/a","United States","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","44.53","1542463003.14","n/a","United States","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","46.28","3358923770.28","n/a","United States","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aan",
"ABAX","ABAXIS, Inc.","72.21","1639022580","n/a","United States","1992","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/abax",
"ABT","Abbott Laboratories","58.49","102143069343.08","n/a","United States","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","91.83","145705488881.88","n/a","United States","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abbv",
"ABEO","Abeona Therapeutics Inc.","19.75","932732065","n/a","United States","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","14.75","0","n/a","United States","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow",
"ANF","Abercrombie & Fitch Company","28.54","1941640357.92","n/a","United States","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/anf",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","4.71","1187536181.04","n/a","United States","1986","n/a","n/a","https://www.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","6.08","138273342.08","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/iaf",
"CH","Aberdeen Chile Fund, Inc.","9.3358","87361522.302","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/ch",
"ABE           ","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","14.9","141323713.7","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abe",
"FCO","Aberdeen Global Income Fund, Inc.","8.72","76080160.08","n/a","United States","1992","n/a","n/a","https://www.nasdaq.com/symbol/fco",
"GCH","Aberdeen Greater China Fund, Inc.","13.61","119996566.34","n/a","United States","1992","n/a","n/a","https://www.nasdaq.com/symbol/gch",
"ACP","Aberdeen Income Credit Strategies Fund","14.02","183298489.44","n/a","United States","2011","n/a","n/a","https://www.nasdaq.com/symbol/acp",
"IF","Aberdeen Indonesia Fund, Inc.","7.52","69614181.6","n/a","United States","1990","n/a","n/a","https://www.nasdaq.com/symbol/if",
"ISL","Aberdeen Israel Fund, Inc.","20.07","79185542.76","n/a","United States","1992","n/a","n/a","https://www.nasdaq.com/symbol/isl",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","9.09","121603220.28","n/a","United States","1992","n/a","n/a","https://www.nasdaq.com/symbol/jeq",
"SGF","Aberdeen Singapore Fund, Inc.","13.44","99710661.12","n/a","United States","1990","n/a","n/a","https://www.nasdaq.com/symbol/sgf",
"ABMD","ABIOMED, Inc.","296.74","13139001790.5","n/a","United States","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/abmd",
"ABM","ABM Industries Incorporated","32.25","2118825064.5","n/a","United States","n/a","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/abm",
"AXAS","Abraxas Petroleum Corporation","2.67","442957856.73","n/a","United States","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"ACIA","Acacia Communications, Inc.","40.03","1603734099.15","n/a","United States","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","3.525","178498534.05","n/a","United States","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","38.8","3424995193.6","n/a","United States","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","18.9","2356866741.6","n/a","United States","2004","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acad",
"AKR","Acadia Realty Trust","24.02","1984121393.78","n/a","United States","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/akr",
"ACST","Acasti Pharma, Inc.","1.1","28202036.5","n/a","Canada","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","24.2","1349545887.8","n/a","United States","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","37.43","1700035453.23","n/a","United States","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/xlrn",
"ANCX","Access National Corporation","29.02","600618117.92","n/a","United States","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ancx",
"ACCO","Acco Brands Corporation","12.9","1390968132.3","n/a","United States","n/a","Consumer Durables","Publishing","https://www.nasdaq.com/symbol/acco",
"ARAY","Accuray Incorporated","4.9","417943172.5","n/a","United States","2007","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.25","114523096.5","n/a","United States","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","19.27","144475533.91","n/a","United States","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acer",
"ACET","Aceto Corporation","7.03","216260726.5","n/a","United States","n/a","Health Care","Other Pharmaceuticals","https://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","12.39","554147321.91","n/a","United States","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akao",
"ACHV","Achieve Life Sciences, Inc. ","1.36","17337187.52","n/a","United States","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/achv",
"ACHN","Achillion Pharmaceuticals, Inc.","3.68","507451712.16","n/a","United States","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","24.24","2809535963.76","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","17.62","544484289.04","n/a","United States","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","13.59","209320056.54","n/a","United States","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acmr",
"ACU","Acme United Corporation.","21.36","72069942.96","n/a","United States","1988","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acu",
"ACNB","ACNB Corporation","29","203686082","n/a","United States","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","23.35","1095436459.45","n/a","United States","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/acor",
"ATNM","Actinium Pharmaceuticals, Inc.","0.375","41324497.5","n/a","United States","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/atnm",
"SQZZ","Active Alts Contrarian ETF","24.9","622549.8","n/a","United States","n/a","n/a","n/a","https://www.nasdaq.com/symbol/sqzz",
"ATVI","Activision Blizzard, Inc","65.88","49978653958.44","n/a","United States","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/atvi",
"ATU","Actuant Corporation","23.45","1423096900.75","n/a","United States","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atu",
