"Symbol","Name","LastSale","MarketCap","ADR TSO","Country","IPOyear","Sector","Industry","Summary Quote",
"ARCO","Arcos Dorados Holdings Inc.","9.35","1973527949.8","n/a","Argentina","2011","Consumer Services","Restaurants","https://www.nasdaq.com/symbol/arco",
"AZUL","Azul S.A.","32.26","3591472668.98","n/a","Brazil","2017","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/azul",
"BBD","Banco Bradesco Sa","9.87","72672194072.52","n/a","Brazil","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bbd",
"BBDO","Banco Bradesco Sa","9.15","58468668963.9","n/a","Brazil","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/bbdo",
"BSBR","Banco Santander Brasil SA","11.32","84883371497.32","n/a","Brazil","2009","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bsbr",
"BFR","BBVA Banco Frances S.A.","22.67","4629664656.93","n/a","Argentina","n/a","Finance","Commercial Banks","https://www.nasdaq.com/symbol/bfr",
"LND","Brasilagro Cia Brasileira De Propriedades Agricolas","3.9","209828455.2","n/a","Brazil","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/lnd",
"BAK","Braskem S.A.","27.71","11008890964.31","n/a","Brazil","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/bak",
"BRFS","BRF S.A.","6.35","5150736110.75","n/a","Brazil","n/a","Consumer Non-Durables","Meat/Poultry/Fish","https://www.nasdaq.com/symbol/brfs",
"CIG","Comp En De Mn Cemig ADS","2.35","3043864952.7","n/a","Brazil","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/cig",
"CIG.C","Comp En De Mn Cemig ADS","n/a","0","n/a","Brazil","n/a","n/a","n/a","https://www.nasdaq.com/symbol/cig.c",
"CBD","Companhia Brasileira de Distribuicao","20.82","5545489447.2","n/a","Brazil","1997","Consumer Services","Food Chains","https://www.nasdaq.com/symbol/cbd",
"SBS","Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp","9.91","6773582801.79","n/a","Brazil","2002","Public Utilities","Water Supply","https://www.nasdaq.com/symbol/sbs",
"ELP","Companhia Paranaense de Energia (COPEL)","7.4","2025049775","n/a","Brazil","n/a","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/elp",
"CZZ","Cosan Limited","10.37","2744844456.71","n/a","Brazil","n/a","Consumer Non-Durables","Specialty Foods","https://www.nasdaq.com/symbol/czz",
"CPL","CPFL Energia S.A.","14.21","7232284270.33","n/a","Brazil","2004","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/cpl",
"CRESY","Cresud S.A.C.I.F. y A.","21.58","1082545162.4","n/a","Argentina","1997","Finance","Real Estate","https://www.nasdaq.com/symbol/cresy",
