Old Symbol,New Symbol,Effective Date
ABY,AY,11/14/2017
ADHD,ARCT,11/16/2017
AKTAV,AKTIA,4/13/2018
AKTRV,AKTIA,4/13/2018
ATEL A,ATRE,12/8/2017
ATVEXA,ATVEXA B,12/12/2017
AVG1L,AUG1L,11/2/2017
AVIR,VXRT,2/14/2018
BBRY,BB,10/16/2017
BDFC,LBRT,1/10/2018
BIOP,RIOT,10/19/2017
BNDS,SPAB,10/16/2017
CBG,CBRE,3/20/2018
CEIX.V,CEIX,11/29/2017
CEMP,MLNT,11/6/2017
CFCO,FG,12/1/2017
CFCOW,FG.W,12/1/2017
CLEAN,LOUD,12/5/2017
CLNT,SEII,1/8/2018
CNNX,CNXM,1/4/2018
CNXC,CCR,11/29/2017
COH,TPR,10/31/2017
CORE,CORE A,11/27/2017
CUBN,RBNC,1/2/2018
DBIT,GRMY,10/27/2017
DBSE,EURZ,10/27/2017
DENERG,ORSTED,10/31/2017
DEVP,DEVP B,12/15/2017
DLPH,APTV,12/5/2017
DLPH.V,DLPH,12/5/2017
DYN.A,VST.A,4/9/2018
EAGL,WSC,11/30/2017
EAGLW,WSCWW,11/30/2017
ELITE B,AGF B,1/8/2018
ENRJ,UAVS,3/27/2018
ESDI,EAST,1/4/2018
ESDIW,EASTW,1/4/2018
ETRM,RSLS,10/23/2017
EXXI,EGC,3/21/2018
EZY,QSY,12/18/2017
FH,XSPA,1/8/2018
FMCI,CVON,2/23/2018
FMCIW,CVONW,2/23/2018
FSC,OCSL,10/18/2017
FSCE,OSLE,10/18/2017
FSCFL,OCSLL,10/18/2017
FSFR,OCSI,10/18/2017
GAB.V,GAB.R,11/9/2017
GALE,SLS,1/2/2018
GES,ATHENA,12/15/2017
GGZ.V,GGZ.R,10/26/2017
GMM,SPEM,10/16/2017
GPAC,PRPL,2/5/2018
GPACW,PRPLW,2/5/2018
GUT.V,GUT.R,4/3/2018
GWL,SPDW,10/16/2017
HCN,WELL,2/28/2018
HCN$I,WELL$I,2/28/2018
HLS,EHC,1/2/2018
HOTR,BURG,11/14/2017
ICTA B,ICTA,10/27/2017
IMAIL B,IMAIL,3/23/2018
INCR,SYNH,1/8/2018
IRL.V,IRL.R,11/8/2017
ITEK,RCKT,1/5/2018
ITR,SPIB,10/16/2017
ITX,ELE,10/31/2017
KIO.V,KIO.R,10/24/2017
LARE,MJ,2/9/2018
LILAV,LILA,1/2/2018
LILKV,LILAK,1/2/2018
LLSC,PPSC,2/15/2018
LLSP,PPLC,2/15/2018
LOV.V,LOV,11/17/2017
LTEA,LBCC,1/5/2018
LWC,SPLB,10/16/2017
LYKO,LYKO A,12/11/2017
MIII,IEA,3/28/2018
MIIIW,IEAWW,3/28/2018
MJX,MJ,2/9/2018
MLNK,STCN,2/27/2018
MSC B,EMPIR B,3/2/2018
MSDI,INNT,2/1/2018
MSDIW,INNTW,2/1/2018
MTU,MUFG,4/2/2018
NEOT,EVFM,1/18/2018
NQ,LKM,3/14/2018
NVGN,KZIA,11/24/2017
NYHR,ORIGO,1/11/2018
OMAA,BSA,3/26/2018
OMAM,BSIG,3/26/2018
ONEK,SPLG,10/16/2017
OPERA,OTELLO,1/18/2018
ORPHA TEMP,ORPHA,11/21/2017
PBMD,IMMP,12/1/2017
PCLN,BKNG,2/27/2018
PHMD,FCRE,11/1/2017
PPHM,CDMO,1/8/2018
PPHMP,CDMOP,1/8/2018
PSDV,EYPT,4/2/2018
Q,IQV,11/15/2017
QVCA,QRTEA,3/12/2018
QVCB,QRTEB,3/12/2018
RDVTV,RDVT,3/27/2018
RFL.V,RFL,3/27/2018
RIV.V,RIV.R,10/17/2017
SCPB,SPSB,10/16/2017
SCSS,SNBR,11/1/2017
SEAM,INVUO,12/21/2017
SKBN,SBANK,11/6/2017
SKLN,AIPT,2/2/2018
SMD,SPMD,10/16/2017
SONS,RBBN,11/29/2017
SRE4A,SRE$A,1/11/2018
SRUN,AMR,2/12/2018
SRUNW,AMRWW,2/12/2018
SST,SPTS,10/16/2017
SYMX,SES,12/4/2017
SZC.V,SZC.R,2/20/2018
THRK,SPTM,10/16/2017
TICC,OXSQ,3/23/2018
TICCL,OXSQL,3/23/2018
TLO,SPTL,10/16/2017
TLV1V,AHTIUM,11/29/2017
TWOK,SPSM,10/16/2017
VNTV,WP,1/16/2018
VOICE,SYN,4/9/2018
WDTI,WTMF,12/18/2017
WPCS,DCAR,1/31/2018
WPPGY,WPP,11/28/2017
WYIG,TMSR,2/7/2018
WYIGW,TMSRW,2/7/2018
XNY,DXF,3/5/2018
YERR,YRIV,2/14/2018
YTY1V,YIT,2/1/2018
